"","lon","lat","species","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1190",137.53047,35.43836,"Diplodia mori",10.7,98,29,8341,276,-59,335,210,0,213,0,2045,284,65,48,811,208,802,208
"1192",-87.85,41.8333,"Diplodia smilacina",9.8,105,27,9980,290,-98,388,222,-36,222,-36,923,103,36,29,301,142,301,142
"1194",-87.85,41.8333,"Diplodia staphyleae",9.8,105,27,9980,290,-98,388,222,-36,222,-36,923,103,36,29,301,142,301,142
"1195",-87.85,41.8333,"Diplodia caryogena",9.8,105,27,9980,290,-98,388,222,-36,222,-36,923,103,36,29,301,142,301,142
"1196",-87.85,41.8333,"Diplodia tiliae",9.8,105,27,9980,290,-98,388,222,-36,222,-36,923,103,36,29,301,142,301,142
"1198",-122.542358,47.642874,"Diplodia subtecta",10.5,89,39,4809,234,9,225,52,167,167,47,1060,173,21,60,494,89,89,452
"1203",-122.648996,47.639831,"Diplodia subtecta",10.5,93,40,4862,237,7,230,51,168,168,46,1136,192,21,62,538,89,89,493
"1209",14.708445,52.61814,"Diplodia ostryae",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1214",14.708445,52.61814,"Diplodia nuttalliae",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1231",-89.5167,41.4,"Diplodia rhoina",9.5,119,29,10247,296,-114,410,220,-46,220,-46,910,107,31,34,305,119,305,119
"1237",-4.407688,57.292513,"Diplodia pyrenophora",6.8,68,33,4837,179,-25,204,18,87,135,8,1096,122,58,23,355,192,232,319
"1238",14.708445,52.61814,"Diplodia ilicicola",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1243",14.708445,52.61814,"Diplodia pseudodiplodia",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1244",-87.85,41.8333,"Diplodia pruni",9.8,105,27,9980,290,-98,388,222,-36,222,-36,923,103,36,29,301,142,301,142
"1248",14.708445,52.61814,"Diplodia platanicola",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1251",-0.135465,53.077607,"Diplodia herbarum",9.6,72,34,4904,212,1,211,158,61,160,35,589,59,38,11,159,127,157,141
"1254",-94.226056,39.339171,"Diplodia cercidis",11.8,122,30,9819,315,-89,404,219,-15,239,-15,967,121,30,41,353,103,331,103
"1256",-92.5,38.5,"Diplodia cercidis",12.9,125,31,9345,322,-73,395,181,2,245,2,1002,128,36,30,333,142,286,142
"1258",10.338564,49.94751,"Diplodia euphorbiae",8.9,91,33,6714,239,-35,274,173,14,173,1,609,73,37,20,196,120,196,131
"1272",-85.69162,32.424029,"Diplodia euonymi",17.4,130,41,6920,324,9,315,96,226,259,81,1386,166,69,22,431,262,339,397
"1277",-122.137349,47.037642,"Diplodia atrata",9.1,102,42,4873,232,-7,239,37,155,155,33,1433,200,38,44,588,166,167,532
"1281",14.708445,52.61814,"Diplodia gleditschiae",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1286",-96.659739,39.679567,"Diplodia polygonicola",11.7,133,30,10363,328,-104,432,223,-24,246,-24,810,125,16,53,332,60,322,60
"1288",-96.659739,39.681945,"Diplodia polygonicola",11.7,133,30,10363,328,-104,432,223,-24,246,-24,810,125,16,53,332,60,322,60
"1293",-0.696831,54.253627,"Diplodia malorum",8.7,70,36,4321,193,2,191,43,103,143,34,791,80,55,13,233,176,188,208
"1294",-0.389971,54.24992,"Diplodia henriquesii",9.5,69,37,4239,196,11,185,52,133,149,42,812,86,57,14,246,176,197,218
"1296",-2.077249,53.721383,"Diplodia tiliae",8.7,70,35,4702,197,1,196,39,135,150,30,1163,128,74,18,366,231,256,332
"1303",14.708445,52.61814,"Diplodia juniperi",9.1,79,26,7658,245,-49,294,185,0,185,-13,528,69,28,27,184,91,184,104
"1304",-1.774166,53.721195,"Diplodia herbarum",9.2,71,36,4581,201,6,195,45,138,152,36,892,92,61,14,267,189,204,246
"1306",-1.925707,53.721385,"Diplodia herbarum",8.9,70,35,4656,199,4,195,41,136,151,33,1052,113,70,17,325,214,234,297
"1340",-86,50,"Diplodia rhoina",-0.2,128,25,12438,236,-268,504,149,-172,149,-172,805,93,41,27,268,137,268,137
"1342",-85.69162,32.424029,"Diplodia maura",17.4,130,41,6920,324,9,315,96,226,259,81,1386,166,69,22,431,262,339,397
"1347",-85.69162,32.424029,"Diplodia liriodendri",17.4,130,41,6920,324,9,315,96,226,259,81,1386,166,69,22,431,262,339,397
"1355",9.845472,55.86147,"Diplodia taxi",7.7,66,26,6195,196,-55,251,85,23,156,-2,670,74,37,22,213,117,181,132
"1357",-122.16968,37.428923,"Diplodia meliae",14.3,112,53,3584,249,39,210,97,186,188,97,481,99,1,87,255,6,9,255
"1366",-122.419416,37.77493,"Diplodia lupini",13.9,80,52,2331,218,67,151,108,160,167,108,608,127,1,88,321,8,48,321
"1367",-0.688263,54.523169,"Diplodia ilicicola",9,70,36,4308,196,5,191,47,108,147,37,779,80,54,13,230,172,185,204
"1373",0.009536,52.98534,"Diplodia pyrenophora",9.6,71,33,4910,211,0,211,43,61,160,34,592,58,38,11,162,128,156,143
"1380",-84.529364,46.328183,"Diplodia rhoina",4.6,105,26,9884,246,-147,393,126,-78,167,-86,846,101,41,22,266,149,242,163
"1397",11.883333,45.416667,"Diplodia subtecta",13.5,94,32,7280,293,4,289,174,55,226,40,877,94,60,14,249,188,226,190
"1398",14.065494,50.917892,"Diplodia persicae",8.2,76,28,6885,225,-39,264,169,3,169,-7,586,76,31,29,211,101,211,108
"1400",10.85,44.6,"Diplodia paliuri",13.2,91,29,7359,296,-8,304,88,225,225,35,823,97,45,20,259,167,167,186
